 SOUID,    DATE,   TG, Q_TG
111448,20150101,   39,    0
111448,20150102,   54,    0
111448,20150103,   48,    0
111448,20150104,   36,    0
111448,20150105,   34,    0
111448,20150106,   10,    0
111448,20150107,   22,    0
111448,20150108,   36,    0
111448,20150109,   64,    0
111448,20150110,   88,    0
111448,20150111,   37,    0
111448,20150112,   58,    0
111448,20150113,  100,    0
111448,20150114,   63,    0
111448,20150115,   51,    0
111448,20150116,   79,    0
111448,20150117,   37,    0
111448,20150118,    4,    0
111448,20150119,   -4,    0
111448,20150120,   10,    0
111448,20150121,    8,    0
111448,20150122,   -3,    0
111448,20150123,    3,    0
111448,20150124,   -1,    0
111448,20150125,   12,    0
111448,20150126,   24,    0
111448,20150127,   35,    0
111448,20150128,   33,    0
111448,20150129,   23,    0
111448,20150130,   10,    0
111448,20150131,    5,    0
111448,20150201,   11,    0
111448,20150202,   11,    0
111448,20150203,    2,    0
111448,20150204,   -9,    0
111448,20150205,  -12,    0
111448,20150206,  -34,    0
111448,20150207,   -9,    0
111448,20150208,   18,    0
111448,20150209,   42,    0
111448,20150210,   53,    0
111448,20150211,   51,    0
111448,20150212,   11,    0
111448,20150213,   12,    0
111448,20150214,   11,    0
111448,20150215,   24,    0
111448,20150216,    5,    0
111448,20150217,   13,    0
111448,20150218,   35,    0
111448,20150219,   28,    0
111448,20150220,   35,    0
111448,20150221,   59,    0
111448,20150222,   21,    0
111448,20150223,   20,    0
111448,20150224,   40,    0
111448,20150225,   32,    0
111448,20150226,   32,    0
111448,20150227,   43,    0
111448,20150228,   41,    0
111448,20150301,   38,    0
111448,20150302,   54,    0
111448,20150303,   47,    0
111448,20150304,   36,    0
111448,20150305,   39,    0
111448,20150306,   47,    0
111448,20150307,   79,    0
111448,20150308,  112,    0
111448,20150309,   94,    0
111448,20150310,   70,    0
111448,20150311,   48,    0
111448,20150312,   30,    0
111448,20150313,   26,    0
111448,20150314,   44,    0
111448,20150315,   60,    0
111448,20150316,   83,    0
111448,20150317,  113,    0
111448,20150318,   87,    0
111448,20150319,   67,    0
111448,20150320,   67,    0
111448,20150321,   34,    0
111448,20150322,   13,    0
111448,20150323,   54,    0
111448,20150324,   83,    0
111448,20150325,   94,    0
111448,20150326,   82,    0
111448,20150327,   73,    0
111448,20150328,   71,    0
111448,20150329,   95,    0
111448,20150330,   64,    0
111448,20150331,   59,    0
111448,20150401,   46,    0
111448,20150402,   33,    0
111448,20150403,   49,    0
111448,20150404,   44,    0
111448,20150405,   48,    0
111448,20150406,   54,    0
111448,20150407,   71,    0
111448,20150408,   82,    0
111448,20150409,  100,    0
111448,20150410,  133,    0
111448,20150411,  152,    0
111448,20150412,  103,    0
111448,20150413,   95,    0
111448,20150414,  102,    0
111448,20150415,  164,    0
111448,20150416,  105,    0
111448,20150417,   73,    0
111448,20150418,   65,    0
111448,20150419,   93,    0
111448,20150420,  112,    0
111448,20150421,  138,    0
111448,20150422,   95,    0
111448,20150423,  122,    0
111448,20150424,  145,    0
111448,20150425,  163,    0
111448,20150426,  140,    0
111448,20150427,  102,    0
111448,20150428,   79,    0
111448,20150429,   91,    0
111448,20150430,  106,    0
111448,20150501,   98,    0
111448,20150502,   93,    0
111448,20150503,  133,    0
111448,20150504,  178,    0
111448,20150505,  190,    0
111448,20150506,  160,    0
111448,20150507,  131,    0
111448,20150508,  135,    0
111448,20150509,  162,    0
111448,20150510,  115,    0
111448,20150511,  140,    0
111448,20150512,  184,    0
111448,20150513,  134,    0
111448,20150514,  102,    0
111448,20150515,  114,    0
111448,20150516,  113,    0
111448,20150517,  114,    0
111448,20150518,  148,    0
111448,20150519,  154,    0
111448,20150520,  137,    0
111448,20150521,  127,    0
111448,20150522,  145,    0
111448,20150523,  158,    0
111448,20150524,  143,    0
111448,20150525,  165,    0
111448,20150526,  130,    0
111448,20150527,  113,    0
111448,20150528,  138,    0
111448,20150529,  157,    0
111448,20150530,  131,    0
111448,20150531,  155,    0
111448,20150601,  144,    0
111448,20150602,  186,    0
111448,20150603,  192,    0
111448,20150604,  163,    0
111448,20150605,  213,    0
111448,20150606,  241,    0
111448,20150607,  187,    0
111448,20150608,  159,    0
111448,20150609,  151,    0
111448,20150610,  169,    0
111448,20150611,  188,    0
111448,20150612,  208,    0
111448,20150613,  220,    0
111448,20150614,  182,    0
111448,20150615,  150,    0
111448,20150616,  120,    0
111448,20150617,  157,    0
111448,20150618,  158,    0
111448,20150619,  135,    0
111448,20150620,  134,    0
111448,20150621,  150,    0
111448,20150622,  149,    0
111448,20150623,  118,    0
111448,20150624,  131,    0
111448,20150625,  180,    0
111448,20150626,  191,    0
111448,20150627,  188,    0
111448,20150628,  177,    0
111448,20150629,  211,    0
111448,20150630,  211,    0
111448,20150701,  211,    0
111448,20150702,  240,    0
111448,20150703,  270,    0
111448,20150704,  301,    0
111448,20150705,  289,    0
111448,20150706,  219,    0
111448,20150707,  239,    0
111448,20150708,  197,    0
111448,20150709,  157,    0
111448,20150710,  153,    0
111448,20150711,  176,    0
111448,20150712,  184,    0
111448,20150713,  172,    0
111448,20150714,  174,    0
111448,20150715,  190,    0
111448,20150716,  210,    0
111448,20150717,  244,    0
111448,20150718,  231,    0
111448,20150719,  182,    0
111448,20150720,  196,    0
111448,20150721,  232,    0
111448,20150722,  246,    0
111448,20150723,  205,    0
111448,20150724,  207,    0
111448,20150725,  217,    0
111448,20150726,  168,    0
111448,20150727,  173,    0
111448,20150728,  175,    0
111448,20150729,  167,    0
111448,20150730,  160,    0
111448,20150731,  149,    0
111448,20150801,  183,    0
111448,20150802,  229,    0
111448,20150803,  246,    0
111448,20150804,  267,    0
111448,20150805,  214,    0
111448,20150806,  262,    0
111448,20150807,  286,    0
111448,20150808,  254,    0
111448,20150809,  224,    0
111448,20150810,  256,    0
111448,20150811,  271,    0
111448,20150812,  233,    0
111448,20150813,  240,    0
111448,20150814,  274,    0
111448,20150815,  251,    0
111448,20150816,  229,    0
111448,20150817,  232,    0
111448,20150818,  191,    0
111448,20150819,  187,    0
111448,20150820,  196,    0
111448,20150821,  201,    0
111448,20150822,  208,    0
111448,20150823,  202,    0
111448,20150824,  217,    0
111448,20150825,  185,    0
111448,20150826,  204,    0
111448,20150827,  215,    0
